Tax Year,Date Filed,Parcel Number,Nickname ,Use of Property,Basis for Petition ,Method of Valuation,Petition Completed by: ,Full Cash Value (FCV) By owner,Limited Property Value (LPV) by owner,FCV by Notice,LPV by Notice,Assessor's Decision (FCV),Assessor's Decision (LPV),Basis for Decision,Reviewed by:,Outcome (i.e. Granted in Full / Granted in Part / No Change),Details of Outcome,FCV %,LPV %,outcome_FCV,outcome_LPV
2000,4/21/1999,105-22-023,DRIVE INN,Vacant Land,"This is the Old Rancho drive-in is located in the flood way. Not in the flood zone. Only one acre is out of the flood way, and elevation mist be 7'00"" of",N/A,Atanasio  Panosopoulos ,39204,39204,196020,78408,98010,53906,Land Value Changed due to floodway. ,N/A,Granted in part,Half-Way in between request and outcome (50% on FCV and 31% on LPV),50,31,Granted in Part,Granted in Part
2001,4/19/2000,102-01-035,1967 N. Grand ,Commercial/Industrial,"Subject property is now 85% vacant for another year and deserves further reduction 1999 NOT is only 72,000. No anchor tenants. Economic, functional and physical obsolescence. Form 300 Attached. ",Market ,Gary W. Heinbach ,725000,,1589283,1589283,1589283,1589283,No change. Sales price. ,Pablo A. Ramos ,No change,,0,0,No Change,No Change
2000,5/1/2000,105-21-001,PK MCCOY -LUTERAN CHURCH,N/A,This property should be a mixed ratio 50% commercial and 50% residential. Please field check. Valuation should not increase 25% in one year!,Market,Delta Properties LLP,74496,54614,93106,64237,80745,61147,"Change FCV to 80,745 to reflect average increase & change usuage to 15% commercial & 50% residential for mixed ratios. ",Pablo A. Ramos ,Granted in part,Very limited reduction of 13% on FCV and 5% on LPV,13,5,Granted in Part,Granted in Part
2001,5/1/2000,114-50-012,RIO RICO PLAZA ,Shopping center,2001 increase in FCV is unwarranted. The FCV is overstated based on the income approach. Market sales indicate the property is overvalued. ,N/A,Avatar properties,1000000,1000000,1712799,1240783,1189809,1189809,"Changed full cash value to 1,189,809. Land Value adjusted 3 AC AT 1.30 per sq. ft. 8.70 AC at 8,700 per AC. ",Pablo A. Ramos ,Granted in part ,Half-Way in between request and outcome (32% on FCV and 4%on LPV),32,4,Granted in Part,Granted in Part
2002,4/30/2001,102-01-035,1967 N. Grand ,Commercial/Industrial,"30 year old shopping center in only fair condition, functional, economic obsolescence. Large vacancy 220 + % increase in inprovements not justified.  ",Market ,N/A,1500000,1500000,2248625,1754119,2248625,1754119,"No change. Improvement on cost system. Sales price of $2,710,000 on May 2000. ",Pablo A. Ramos ,No change,,0,0,No Change,No Change
2004,3/28/2003,102-01-098D,VETERANS/SEPT'04,Commercial/Industrial,"Property is in the flood zone next to county arroyo that creates garbage and health problems. Use limited in use due to contract. Generated $1,500 a year in income from carnivals. ",Market ,Santa Cruz County Veterans Market Inc. ,170000,170000,215622,215622,172498,172498,Adjusted land 20% due to economic obsolescence. Good only for one year. ,N/A,Granted in Part,Very close to Granted in Full; (20% reduced on FCV and reduced on LPV),20,20,Granted in Part,Granted in Part
2004,4/9/2003,105-20-004,MORGAN,Commercial/Industrial,"No change to existing warehouse. Not all 23.62 acres are commercial, part is still vacant and not used as commercial. Please inspect for mixed ratio. ",Market/Cost,Delta Properties LLP,2400000,2400000,2812439,2649702,2600000,2600000,"11.34 AC at 16% and 11.34 AC at 25%. Change FCV to 2,600,000 to reflect market area, average increase for commercial property. ",Pablo A. Ramos ,Granted in Part,Very limited reduction of 8% on FCV and 2% on  LPV,8,2,Granted in Part,Granted in Part
2004,4/9/2003,105-22-023,DRIVE INN,Vacant Land,"4.5 acres have no value. 100% in wetlands, therefore they have no market value. ",Market ,Delta Properties LLP,20000,20000,98010,88574,98010,88574,"No change. Valuation applicable to 4.5 acres at $21,780 per acre comparable to surrounding properties. ",N/A,No change,,0,0,No Change,No Change
2005,4/23/2004,105-20-004,MORGAN,Commercial/Industrial,No sales of similar properties within the county to justify this increase. ,Market,Delta Properties LLP,2600000,2600000,2914473,2860000,2600000,2600000,"Change to last years value, agree with taxpayer. No comparable sales in market-area",Felipe Fuentes Jr. ,Granted in full ,11% on FCV / 9% on LPV,11,9,Granted in Full,Granted in Full
2005,4/23/2004,105-22-023,DRIVE INN,Vacant Land,"Property located in floodway, 30% is in the wetlands which is restricted by the Federal government, the remaining property sits in the floodway. ",Market,Delta Properties LLP,30000,30000,98010,97431,49005,49005,"Adjusted land value due to flood way and topographic location, based on report provided by the Santa Cruz County Flood plain management. ",N/A,Granted in part,Half-Way in between request and outcome (50% on FCV and on LPV),50,50,Granted in Part,Granted in Part
2006,4/27/2004,113-49,UNABLE TO IDENTIFY ,Commercial/Industrial ,"All buildings in very poor condition, no insultaiton, minimal electrical, very hard to rent as distribution warehouses or proto warehouses. 113-49-009E minumum land is being used as commercial, total parcel size 13.61 acres: only 1 1/2 acres are being used as commercial, 5 acres approx. in flood zone. ",Market,Delta Properties LLP,,,,,,,N/A,N/A,N/A,,,,,
2006,4/27/2005,101-43-108A,WS Apts,Commercial/Industrial + Apartments,Hard to compete with new apt. complex that are in the Mariposa area. Value for older apts. Has depreciated,Market,Dino Panousopouls,80000,80000,113487,84733,80686,80686,Adjustment Improvement Due to Cost,N/A,Granted in Part,Very close to Granted in Full; off by $686; (29% reduced on FCV / 5% reduced on LPV),29,5,Granted in Part,Granted in Part
2007,4/28/2006,103-23-265A,MONTE CARLO APTS,Rental Apartments ,"Apartment Complex sold for $700,000. Assessor is over 200,000",Market,Ma-thena Properties LLP,700000,700000,995640,767090,995640,767090,"No change. Sold for 900,000, property had assessors overide for 9 year normal increase. ",N/A,No change,,0,0,No Change,No Change
2008,4/27/2007,105-22-023,DRIVE INN,Commerical/Industrial,Warehouse sits on flood zone. Limited acess. Not being used for produce warehouse. Industrial distribution warehouse cannot compare to produce warehouses. 1/3 of land sits on flood way. Allow economic obsolecense due to location. Not all 9 acres are being used for commercial. ,Market,Delta Properties LLP,1500000,1500000,2208013,2166859,2208013,2166859,"No change, cost mehod valuation, a mix ratio is being used commercial/vacant. Topographical obsolescence has been applied to allow fro flood way. ",Pablo A. Ramos ,No change,,0,0,No Change,No Change
2009,4/16/2008,102-01-098D,VETERANS/SEPT'04,Commercial/Industrial,Mixed Ratio - Commercial in use is 25% - Remaining 75% is vacant. ,N/A,Delta Properties LLP,260000,260000,305072,292340,305071,305071,Applied mixed ration for 2009,N/A,No change,,0,0,No Change,No Change
2009,4/28/2008,113-45-367,MH - 1310 FAIRWAY ,N/A,It is an old delapiduted building that hasn뭪 had any improvements or modernization since it was built. I do not think there is any logical reason to increas the valuation to more then what I paid for. Plus it needs mayor reprais and modernization and the contamination issue that exist and we are constantly dealing with. ,N/A,AD+R Fairway LLC,1000000,1000000,1250947,1238560,1225928,1196824,Adjusted value due to physical obsolescence.,N/A,Granted in part ,Very limited reduction of 2% on FCV and 3% on LPV,2,3,Granted in Part,Granted in Part
2011,4/26/2010,102-01-035,1967 N. Grand ,Commercial/Industrial,Income to be submitted later. ,Market ,N/A,2874286,2874286,3338546,3161714,,,N/A,N/A,N/A,,,,,
2011,4/26/2010,113-49-019B,113-49-019B,N/A,N/A,Market,Delta Properties LLP,844443,844443,1156507,928887,952805,928887,Adjusted. The Full Cash Value has been adjusted as a result of a recent re-evaluation. An adjustement is warranted.  ,Miguel Carrillo,Granted in part ,Half-Way in between request and outcome (18% on FCV and no change on LPV),18,0,Granted in Part,Granted in Part
2011,4/26/2010,113-46-051,La Quinta II Lot 1,N/A,N/A,Market Sales Approach,Delta Properties LLP,2442810,8442810,6187332,3378940,5417657,3186522,Adjusted. The full cash value has been adjusted as a result of a recent re-evaluation. An adjustment is warranted. ,Miguel Carrillo ,Granted in part ,Very limited reduction of 12% on FCV and 6% on LPV,12,6,Granted in Part,Granted in Part
2011,4/26/2010,105-26-034,PATE - 513 N VALLE VERDE DR,N/A,N/A,Market Sales Approach,Theta Properties LLP,229613,229613,377296,266534,242153,242153,Adjusted. The Full Cash Value has been adjusted as a result of a recent re-evaluation. An adjustment is warranted.                                                                           ,Miguel Carrillo,Granted in part ,Half-Way in between request and outcome (10% on FCV and 13%  on LPV),10,13,Granted in Part,Granted in Part
2011,4/26/2010,102-04-044C,MIP 111- 1441 N IND PRK DR,N/A,N/A,Market Sales ,Market Sales ,583828,583828,650211,650211,562594,562594,The full cash value has been adjusted as a result of a recent re-evaluation. An adjustment is warranted. ,Miguel Carrillo,Granted in full ,13% on FCV / 13% on LPV,13,13,Granted in Full,Granted in Full
2011,4/26/2010,102-04-048A,MIP II - 1140 W MARIPOSA IND PARK DR,N/A,N/A,Market Sales Approach,Delta Properties LLP,264906,264906,534979,332425,442066,309196,Adjusted. The full cashvalue has been adjusted as a result of a recent re-evaluation. An adjustment is warranted. ,Miguel Carrillo,Granted in part ,Very limited reduction of 17% on FCV and 7% on LPV,17,7,Granted in Part,Granted in Part
2011,4/26/2010,102-04-043A,MIP 1-1481 N IND PK DR,N/A,N/A,Market Sales Approach ,Delta Properties LLP,692186,692186,862596,761405,735210,735210,Adjusted. The full cash value has been adjusted as a result of a recent re-evaluation. An adjustment is warranted. ,Miguel Carrillo,Granted in part ,Half-Way in between request and outcome (15% on FCV and 3%  on LPV),15,3,Granted in Part,Granted in Part
2011,4/26/2010,102-04-024A,MIP II - 1200 W IND PK DR,N/A,N/A,Market Sales Approach ,Delta Properties LLP,1429984,1429984,1959324,1833654,1336784,1251044,Adjusted. The Full Cash Value has been adjusted as a result of a recent re-evaluation. An adjustment is warranted. Given economic obsolescence and vacancy.                                                                   ,Miguel Carrillo,Granted in full ,32% on FCV / 32% on LPV,32,32,Granted in Full,Granted in Full
2011,4/26/2010,102-01-012A,UNABLE TO IDENTIFY ,N/A,N/A,Market Sales Approach ,Delta Properties LLP,1376232,1376232,1798120,1513855,1315207,1315207,"Adjusted. After futher review of additional information, a field visit and/or aerial image inspection of the area, it is determined that the land value is to be adjusted for topography, location, use and/or size consideration. ",Miguel A. Carrillo ,Granted in full ,27% on FCV / 13% on LPV,27,13,Granted in Full,Granted in Full
2011,4/26/2010,102-04-019A,MIP 11 - 1150 N IND PK DR ,N/A,N/A,Market sales approach,Delta Properties LLP,204309,204309,333215,236535,272842,224740,Adjusted. The Full Cash Value has been adjusted as a result of a recent re-evaluation. An adjustment is warranted.                                                                           ,Miguel Carrillo ,Granted in part ,Very limited reduction of 18% on FCV and 5% increase on LPV,18,5,Granted in Part,Granted in Part
2011,4/26/2010,105-20-003,CANYON APTS -10 NJIKOS WAY,N/A,N/A,Market sales and cost approach,Delta Properties LLP,587888,587888,651597,646677,515632,515632,Adjusted. The full cash value has been adjusted as a result of a recent re-evaluation. An adjustment is warranted. ,Miguel Carrillo ,Granted in full ,21% on FCV / 20% on LPV,21,20,Granted in Full,Granted in Full
2011,4/26/2010,113-46-038C,UNABLE TO IDENTIFY ,N/A,N/A,Market sales approach,Delta Properties LLP,291160,291160,428272,325438,378921,320276,Adjusted. The full cash value has been adjusted as a result of a recent re-evaluation. An adjustment is warranted. ,Miguel Carrillo ,Granted in part ,Very limited reduction of 12% on FCV and 2% increase on LPV,12,2,Granted in Part,Granted in Part
2011,4/26/2010,113-49-019E,N I P - 225 N FREEPORT DR,N/A,N/A,Market sales approach,Delta Properties LLP,,,1518181,1187811,1130812,1130812,Adjusted. The full cash value has been adjusted as a result of a recent re-evaluation. An adjustment is warranted. ,Miguel Carrillo ,N/A,,,,,
2011,4/26/2010,113-49-019H,NIP - 165 N FREEPORT DR,N/A,N/A,Market sales approach,Delta Properties LLP,240074,240074,313404,264082,277586,264081,Adjusted. The full cash value has been adjusted as a result of a recent re-evaluation. An adjustment is warranted. ,Miguel Carrillo ,Granted in part ,Half-Way in between request and outcome (11% on FCV and  no change on LPV),11,0,Granted in Part,Granted in Part
2011,4/26/2010,113-49-024A,NIP - 180 N FREEPORT DR,N/A,N/A,Market sales approach,Delta Properties LLP,334234,334234,412043,367658,341559,341559,Adjusted. The full cash value has been adjusted as a result of a recent re-evaluation. An adjustment is warranted. ,Miguel Carrillo ,Granted in full ,17% on FCV / 7% on LPV,17,7,Granted in Full,Granted in Full
2011,4/26/2010,113-46-037A,MARIPOSA RANCH LOTG - 1590 W CALLE PLATA,N/A,N/A,Market sales approach,Delta Properties LLP,991774,991774,2188844,1291041,1428124,1100861,Adjusted. The full cash value has been adjusted as a result of a recent re-evaluation. An adjustment is warranted. ,Miguel Carrillo ,Granted in part ,Half-Way in between request and outcome (35% on FCV and  15% on LPV),35,15,Granted in Part,Granted in Part
2011,4/26/2010,102-04-019B ,M IP 11 - 1144 WIND PK DR,N/A,N/A,Market sales approach,Delta Properties LLP,425796,425796,918098,859212,752291,704040,Adjusted. The full cash value has been adjusted as a result of a recent re-evaluation. An adjustment is warranted. ,Miguel Carrillo ,Granted in part ,Very limited reduction of 18% on FCV and 6% increase on LPV,18,0,Granted in Part,Granted in Part
2011,4/26/2010,102-01-035N,1967 N. GRAND (LARRIVAS) LMP - 2031 N GRAND I,N/A,N/A,Market sales approach,Theta Properties LLP,2874286,2874286,3338546,3161714,2692047,2692047,"Adjusted. After further review of additional information, a field vsiit and/or aerial image inspection of the area, it is deteremined that the land value is to be adjusted for topography, location, use and/or size considerations. ",Miguel Carrillo ,Granted in full ,19% on FCV / 15% on LPV,19,15,Granted in Full,Granted in Full
2012,4/24/2011,102-01-098D,VETERANS/SEPT'04,N/A,"No buss. in Nogales can sale for 500,000 for lack of buss. This property is a self serve car wash value at 399,864 please review value",Market Sales Approach,Delta Properties LLP,300000,300000,367965,367965,,,N/A,N/A,N/A,,,,,
2012,4/24/2011,103-23-265A,MONTE CARLO APTS,N/A,Location is number 1 reason for valu. Vacancy rate apts. is over 50% due to location. ,N/A,Ma-thena Properties LLP,900602,900602,800000,800000,,,N/A,N/A,N/A,,,,,
2002,4/30/2011,105-20-004,MORGAN,Commercial/Industrial,"New warehouse. No changes done to merit 143,000 increase in one year. No market to support the assessors increase. ",Market,Dino (Delta Properties LLP),2477450,2423987,2620819,2530773,2477450,2392330,Change full case value to previous years full cash value. No sales of comparable properties in market area. ,Pablo A Ramos. ,Granted in full ,5% on FCV / 5% on LPV,5,5,Granted in Full,Granted in Full
2013,4/4/2012,113-46-051,La Quinta II Lot 1,N/A,N/A,Market Sales Approach,Delta Properties LLP,4000000,4000000,4404648,3568439,2623722,2623722,"Adjusted. After further review of additional information, a field visit and/or ",Miguel Carrillo ,Granted in full ,40% on FCV / 26% on LPV,40,26,Granted in Full,Granted in Full
2013,4/4/2012,102-01-074,DEL TA PROP. LLP,N/A,N/A,Market ,Delta Properties LLP,1800000,1800000,2377711,2377711,1812852,1812852,Adjusted. The current improvement value reflects depreciation for age and condition. ,Miguel Carrillo ,Granted in part ,Very close to Granted in Full; (24% reduced on FCV and on LPV),24,24,Granted in Part,Granted in Part
2013,4/4/2012,102-01-089,RRR LOT C - 2047 OCEAN GARDEN DR,N/A,N/A,N/A,Delta Properties LLP,300000,300000,363832,363832,282124,282124,Adjusted. The current improvement value reflects depreciation for age and condition. ,Miguel Carrillo,Granted in full ,22% on FCV / 22% on LPV,22,22,Granted in Full,Granted in Full
2013,4/4/2012,102-04-048A,MIP II - 1140 W MARIPOSA IND PARK DR,N/A,N/A,Cost ,Delta Properties LLP,442066,399095,569139,399095,489094,489094,Adjusted. The full cash value has been adjusted for additional depreciation due to conditions unique to the subject property. ,Miguel Carrillo,Granted in part ,Very limited reduction of 14% on FCV and 18% increase on LPV,14,18,Granted in Part,Granted in Part
2013,4/4/2012,102-06-036,UNABLE TO IDENTIFY ,N/A,N/A,Market Sales Approach,Delta Properties LLP,2800000,2800000,3473632,3473632,2735647,2735647,Adjusted. The Full Cash Value has been adjusted for additional depreciation due to conditions unique to the subject property. ,Miguel Carrillo,Granted in full ,21% on FCV / 21% on LPV,21,21,Granted in Full,Granted in Full
2013,4/4/2012,102-01-036B,2085 N GRAND/MINI STORAGE,N/A,N/A,Cost,Delta Properties LLP,1250000,1250000,1444685,1444685,1215460,1215460,Adjusted. The current improvement value reflects depreciation for age and condition. ,Miguel A. Carrillo ,Granted in full ,16% on FCV / 16% on LPV,16,16,Granted in Full,Granted in Full
2014,3/29/2013,107-78-094B,jWINDEMERE HOTEL,Commercial/Industrial,"Due to DPT of Defence changes, income was reduced in 2012 by 50% as compared to 2011. (attached) also, sales of properties for 2021 were reduced by almost 50%, from what they sold four years ago (attached). We listed the hotel at $5 million with a company in phoenix (attached). The only offer we have recieved wsa for $4 million with carry on financing (not allowed by mortgatge of $5.2). ",Market sales approach,Delta Properties LLP,4500000,4500000,6493000,6493000,4500000,4500000,See attached,Terry Anderson,Granted in full ,31% on FCV / 31% on LPV,31,31,Granted in Full,Granted in Full
2014,4/25/2013,101-43-108A,WS Apts,Commercial/Industrial,No sales of apts. Similar to subject in the previous 5 yrs or more. Old apts with window and tooling. No control heat. Cheap rent most of the yr vacant due to economy. ,Market,Dino Panousopouls,90000,90000,122170,99444,90265,90265,The full cash value has been adjusted for additional depreciation due to conditions u to the subject property. ,Edmo Acuna,Granted in Part,Very close to Granted in Full; off by $265; (26.2% reduced on FCV / 10% reduced on LPV),26.2,10,Granted in Part,Granted in Part
2014,4/25/2013,102-01-035,1967 N. Grand ,Commercial/Industrial,Cost Approach ,Market,Dino Panousopouls,1000000,1000000,2518111,2518111,1914889,1914889,Adjusted. The Full Cash Value has been adjusted for additional depreciation due to conditions unique to the subject property. ,Miguel Carrillo,Granted in Part,Half-Way in between request and outcome (24% reducted on both FCV and LPV),24,24,Granted in Part,Granted in Part
2014,4/25/2013,103-23-265A,MONTE CARLO APTS,Commercial/Industrial,"Apartments at wrong location. Can't sell, can't rent. ",Market Sales Approach,Ma-thena Properties LLP,500000,500000,840176,840176,623568,623568,Adjusted. The Full Cash Value has been adjusted as a result of a recent re-evaluation. An adjustement is warranted.  ,Edmo Acuna,Granted in Part,Half-Way in between request and outcome (26% reducted on FCV and 26% on LPV),26,26,Granted in Part,Granted in Part
2014,4/25/2013,105-22-023,DRIVE INN,N/A,N/A,Market,Delta Properties LLP,2000000,2000000,2210673,2210673,2084760,2084760,Adjusted. The Full Cash Value has been adjusted for additional depreciation due to conditions unique to the subject property. ,Miguel Carrillo,Granted in part,Very limited reduction of 6% on FCV and on LPV,6,6,Granted in Part,Granted in Part
2014,4/25/2013,113-49-019B,113-49-019B,Commercial/Industrial ,"This is the old ind. Park with very old construction. Buildings are not to now building copes. Streets are in very bad shape minimum rent, wrong location. This building is due to some kind of economic break",Market,Delta Properties LLP,900000,900000,952805,952805,883328,883328,"Adjusted. The Full Cash Value has been adjusted for additional depreciation due to conditions unique to the subject property.  113-49-019E, 113-49-019H, 113-49024A & 13-49-024B Adjusted. The current improvement value reflects depreciation for age and condition. ",Miguel Carrillo,Granted in full ,25% on FCV / 7% on LPV,25,7,Granted in Full,Granted in Full
2015,4/17/2014,113-46-051,La Quinta II Lot 1,N/A,N/A,Market Sales Approach,Delta Properties LLP,2623722,2623722,3027579,2754908,2623722,2623722,"Adjusted. After further review of additional information, a field visit and/or aerial image inspection of the area, it is determined tha the land value is to be adjusted for topography, location, use and/or size considerations. ",Miguel Carrillo ,Granted in full ,13% on FCV / 5% on LPV,13,5,Granted in Full,Granted in Full
2015,4/17/2014,105-28-017A,VEGGIES - 270 W PRODUCE RD' POSIBL YA SELL ; $,N/A,N/A,N/A,Panousopoulos Constantine,300000,300000,344936,323560,236040,236040,Adjusted. Depreciation for age and condition. The current improvement value reflects depreciation for age and condition. ,Miguel Carrillo,Granted in full ,32% on FCV / 27% on LPV,32,27,Granted in Full,Granted in Full
2015,4/17/2014,102-13-019A,BV HOUSE,N/A,N/A,Market Sales Approach,Panousopoulos Theodoro,190000,190000,221588,203643,200000,200000,FCV adjusted to conform with market. The Assessor's Full Cash Value has been adjusted to conform to current market values in the subject area. ,Edmo Acuna,Granted in part ,Half-Way in between request and outcome (10% on FCV and 2%  on LPV),10,2,Granted in Part,Granted in Part
2015,4/17/2014,124-01-064,414 VIA CALANDRIA,N/A,N/A,N/A,Delta Properties LLP,140000,140000,184825,155099,145538,145538,Adjusted. Depreciation due to unique conditions. The Full Cash Value has been adjusted for additional depreciation due to conditions unique to the subject property. ,Miguel Carrillo,Granted in part ,Very close to Granted in Full; (21% reduced on FCV and 6% on LPV),21,6,Granted in Part,Granted in Part
2015,4/17/2014,102-01-089,RRR LOT C - 2047 OCEAN GARDEN DR,N/A,N/A,Market Sales Approach,Delta Properties LLP,282000,282000,329402,329402,282124,282124,"FCV has been adjusted to reflect owners estimate. The Assessors Full Cash Value has been adjusted to reflect the owner's estimate of value per ARS42-16056.A. If the Assessor grans the requested relief, the Petitioner may not appeal the ruling. ",Miguel Carrillo,Granted in part ,Very close to Granted in Full; (14% reduced on FCV and on LPV),14,14,Granted in Part,Granted in Part
2015,4/17/2014,102-04-048A,MIP II - 1140 W MARIPOSA IND PARK DR,N/A,N/A,Market Sales Approach,Delta Properties LLP,489000,489000,565084,437841,489094,437842,"Adjusted. FCV has been adjusted to reflect owner's estimate. The Assessor's Full Cash Value has been adjusted to reflect the owner's estimate of value per ARS42-16056.A. If the Assessor grants the requested relief, the Petitioner may bot appeal the ruling. ",Miguel Carrillo,Granted in full ,13% on FCV / no change on LPV,13,0,Granted in Full,Granted in Full
2015,4/17/2014,102-06-036,UNABLE TO IDENTIFY ,N/A,N/A,Market Sales Approach,Delta Properties LLP,2000000,2000000,2807789,2807789,2807789,2807789,"No change. No longer the legal owner as of June 11, 2014 per reception Number 2014-3369.",Miguel Carrillo,No change,,0,0,No Change,No Change
2015,4/17/2014,102-13-020,BV APTS � 311 N MCNAB DR,N/A,N/A,Market Sales Approach,Delta Properties LLP,900000,900000,975637,975637,975637,975637,No change. Fair and equitable. Property was reviewed. Property is valued fair and equitable. No change recommeneded. ,Miguel Carrillo,No change,,0,0,No Change,No Change
2016,4/25/2015,102-04-044C,MIP 111- 1441 N IND PRK DR,N/A,"The oldest industrial park, very old building, not a good market for them or to be rented out, no reason for a increase (no comparable sales)",N/A,Delta Properties LLP,,,,,,,(See attached for further information),Miguel Carrillo,N/A,,,,,
2016,4/28/2015,105-20-010,PK FIELDS - OLD TUCSON HWY,N/A,"Same use for the past 26 yrs. Same improvements, no change, no reason for increase. ",N/A,Delta Properties LLP,120000,120000,223903,223095,223903,223095,No change. Current building costs and/or sales support the Assessors value. ,Sergio Corella,No change,,0,0,No Change,No Change
2016,4/28/2015,105-28-017B,VEGGIES - 270 W PRODUCE RD' POSIBL YA SELL ;,Commercial/Industrial,"Very old house, lower roof line or interior wall height for better use has been empty for 2 yrs. No increase because no market with similar properties. ",N/A,Panousopoulos Constantine,247842,247842,286296,247842,247842,247842,The current improvement value reflects depreciation for age and condition.,Miguel Carrillo ,Granted in part ,13% on FCV / no change on LPV,13,0,Granted in Part,Granted in Part
2016,4/28/2015,140-01-005,COMBATE (K&F)- 9 OJO CT,Commercial/Industrial,"This is not a produce warehouse, is not similar use of property. No sales. ",N/A,Theta Properties LLP,450000,450000,611945,433083,488994,433083,"After further review of additional information, a field visit and/or aerial image inspection of the area, it is determined that the land value is to be adjusted for topograpy, location, use and/or size considerations. ",Miguel Carrillo,Granted in part ,Very close to Granted in Full; (20% reduced on FCV and no change on LPV),20,0,Granted in Part,Granted in Part
2016,4/28/2015,105-28-017A,VEGGIES - 270 W PRODUCE RD' POSIBL YA SELL ; $,Commercial/Industrial,"Very old warehouse, lower roof line or interior wall height for better use has been empty for 2 yrs. No increase because no market with similar properties. ",N/A,Panousopoulos Constantine,247842,247842,286296,247842,254094,247842,The current improvement value reflects depreciation for age and condition.,Miguel A. Carrillo ,Granted in full ,11% on FCV / no change on LPV,11,0,Granted in Full,Granted in Full
2016,4/28/2015,105-24-002,FLAGSTONE APTS/OFFICES 2841 N GRAND AVE,Commercial/Industrial,"Single bedroom apts. Old motel on flood zone, no market for this kind of property",N/A,Delta Properties LLP,344122,344122,365505,344122,365505,344122,Property was reviewed. Property is valued for and equitable. No change recommended. ,Miguel A. Carrillo ,No change,,0,0,No Change,No Change
2016,4/28/2015,105-28-016,VOHLAND - 274 W PRODUCE ROW,Commercial/Industrial,"Very old warehouse, lower roof line or interior wall height for better use has been empty for 2 yrs. No increase because no market with similar properties. ",Market Sales Approach,Panousopoulos Constantine,383341,383341,451616,383341,406424,383341,The full cash value has been adjusted for additional depreciation due to conditions unique to the subject property. ,Miguel Carrillo,Granted in part ,Very limited reduction of 10% on FCV and no change on LPV,10,0,Granted in Part,Granted in Part
2016,4/28/2015,103-10-024A,K RANCH-870 N PERKINS AVE,Commercial/Industrial,"268 @ grazing for the past 26 yrs. No change on use of property, qualifies for grazing rate. No change to improvements",N/A,Delta Properties LLP,271941,271941,291632,285538,291632,285538,Property was reviewed. No change. Property is valued fair and equitable. Increase was due to market adjustment. Adjustements are needed to keepup with current market. ,Sergio Corella,No change,,0,0,No Change,No Change
2016,4/28/2015,112-12-0993,UNABLE TO IDENTIFY ,Commercial/Industrial,"Mini market in the Tubac area not a super market no sale to compare. No similar properties have sold in the past 10 yrs. No reason for a 300,000 increase. ",Market Sales Approach,Delta Properties LLP,491114,491114,739133,419114,739133,419114,"No change. Property was reviewed. The increase in Full Cash Value resulted from an increase in land values, market, and construction costs. The assessor's full cash value is synonoymous with market value per ARS 42-11001(5). Sales of comparable properties support the assessors full cash value. No change recommended. ",Miguel A. Carrillo ,No change,,0,0,No Change,No Change
2016,4/28/2015,113-45-165A,FAIRWAY-PROTECH/OCT'04 - 3975 FAIRWAY DR,Commercial/Industrial,Empty for 1 1/2 yrs. Manufucture warehouse. ,Market Sales Approach,Delta Properties LLP,812157,812157,840830,812157,813246,812157,The full cash value has been adjusted for additional depreciation due to conditions unique to the subject property. ,Miguel Carrillo,Granted in part ,Very limited reduction of 3% on FCV and no change on LPV,3,0,Granted in Part,Granted in Part
2016,4/28/2015,105-26-034,PATE - 513 N VALLE VERDE DR,Commercial/Industrial,Office building @ 70% vacant even with lower. The monthly rent building next for sale and no offers of any price.,N/A,Theta Properties LLP,160000,160000,231201,151436,157228,151436,The full cash value has been adjusted for additional depreciation due to conditions unique to the subject property. ,Miguel Carrillo,Granted in part ,32% on FCV / no change on LPV,32,0,Granted in Part,Granted in Part
2017,4/20/2016,105-20-010-7,PK FIELDS - OLD TUCSON HWY,N/A,N/A,N/A,Delta Properties LLP,300000,300000,489815,422346,489815,422347,The improvements are listed and graded in accordance with the in accordance with the Department of Revenue Guidelines and Directives. The improvements value is deemed appropriate and conforms to similar properties. No cost or market information was provided to substantiate your opinion of value. ,Luz V. Lopez,no change,,0,0,No Change,No Change
2017,4/20/2016,105-21-001,PK MCCOY -LUTERAN CHURCH,N/A,"Old house @ sometime was used for office now cannot rent this building for office or resident has been vacant for over four years. No reason for an increase, no sales in the area. ",Market Sales Approach,Panousopoulos Scholastic Chari,74000,74000,96388,77758,96388,77759,The limited property value on your parcel has been reviewed. The Limited Property Value has been calculated pursuant to ARS 42-13301 (A). The Limited Property Value on your valuation is the valuation year plus five percent of that value. Limited Property ,Miguel Carrillo,No change,,0,0,No Change,No Change
2017,4/20/2016,102-06-017,130 W. WHITE RD./SONIC P 5/14/09,N/A,Vacant for five years (rented out for one year at a minimal rent). ,Market Sales Approach,Delta Properties LLP,300000,300000,325605,325605,293589,293589,The Full Cash Value has been adjusted for additional depreciation due to conditions unique to the subject property. ,Miguel Carrillo ,Granted in full ,10% on FCV / 10% on LPV,10,10,Granted in Full,Granted in Full
